phone_name,phone_brand,phone_price,phone_price_Milion_VND,phone_img,phone_utility,RAM(GB),ROM(GB),battery,info_screen,size_screen_inch,vote_rating,price_segment,rating_segment,sold_quantity,gross_revenue,gross_revenue_Bilion_VND
Điện thoại iPhone 16 Pro Max 256GB,iPhone (Apple),31390000,31.39,https://cdn.tgdd.vn/Products/Images/42/329149/iphone-16-pro-max-thumb-600x600.jpg,"Chip Apple A18 Pro 6 nhân RAM: 8 GB Dung lượng: 256 GB Camera sau: Chính 48 MP & Phụ 48 MP, 12 MP Camera trước: 12 MP Pin 33 giờ, Sạc 20 W",8,256,33 giờ,Super Retina XDR,6.9,4.9,Upper 20MVND,Excellent,98000,3076220000000,3076.22
Điện thoại Xiaomi Redmi Note 14 8GB/128GB,Xiaomi,5490000,5.49,https://cdn.tgdd.vn/Products/Images/42/333147/TimerThumb/xiaomi-redmi-note-14-8gb-128gb-(8).jpg,"Chip MediaTek Helio G99-Ultra 8 nhân RAM: 8 GB Dung lượng: 128 GB Camera sau: Chính 108 MP & Phụ 2 MP, 2 MP Camera trước: 20 MP Pin 5500 mAh, Sạc 33 W",8,128,5500 mAh,Full HD+,6.67,4.9,0 to 10M VND,Excellent,251000,1377990000000,1377.99
Điện thoại Xiaomi Redmi 13 6GB/128GB,Xiaomi,3290000,3.29,https://cdn.tgdd.vn/Products/Images/42/325800/redmi-13-blue-thumb-600x600.jpg,"Chip MediaTek Helio G91 Ultra 8 nhân RAM: 6 GB Dung lượng: 128 GB Camera sau: Chính 108 MP & Phụ 2 MP Camera trước: 13 MP Pin 5030 mAh, Sạc 33 W",6,128,5030 mAh,Full HD+,6.79,4.9,0 to 10M VND,Excellent,1442000,4744180000000,4744.18
Điện thoại Samsung Galaxy A16 5G 8GB/256GB,Samsung,6490000,6.49,https://cdn.tgdd.vn/Products/Images/42/331204/TimerThumb/samsung-galaxy-a16-5g-(14).jpg,"Chip MediaTek Dimensity 6300 5G 8 nhân RAM: 8 GB Dung lượng: 256 GB Camera sau: Chính 50 MP & Phụ 5 MP, 2 MP Camera trước: 13 MP Pin 5000 mAh, Sạc 25 W",8,256,5000 mAh,Full HD+,6.7,4.9,0 to 10M VND,Excellent,351000,2277990000000,2277.99
Điện thoại OPPO Reno13 F 5G 8GB/256GB,OPPO,9990000,9.99,https://cdn.tgdd.vn/Products/Images/42/332936/oppo-reno13-f-5g-thumb-600x600.jpg,"Chip Snapdragon 6 Gen 1 5G 8 nhân RAM: 8 GB Dung lượng: 256 GB Camera sau: Chính 50 MP & Phụ 8 MP, 2 MP Camera trước: 32 MP Pin 5800 mAh, Sạc 45 W",8,256,5800 mAh,Full HD+,6.67,4.9,0 to 10M VND,Excellent,246000,2457540000000,2457.54
Điện thoại iPhone 13 128GB,iPhone (Apple),11990000,11.99,https://cdn.tgdd.vn/Products/Images/42/223602/iphone-13-midnight-2-600x600.jpg,"Chip Apple A15 Bionic RAM: 4 GB Dung lượng: 128 GB Camera sau: 2 camera 12 MP Camera trước: 12 MP Pin 3240 mAh, Sạc 20 W",4,128,3240 mAh,Super Retina XDR,6.1,4.9,10M to 20M VND,Excellent,1706000,20454940000000,20454.94
Điện thoại OPPO A60 8GB/128GB,OPPO,5490000,5.49,https://cdn.tgdd.vn/Products/Images/42/323543/oppo-a60-blue-thumb-600x600.jpg,"Chip Snapdragon 680 RAM: 8 GB Dung lượng: 128 GB Camera sau: Chính 50 MP & Phụ 2 MP Camera trước: 8 MP Pin 5000 mAh, Sạc 45 W",8,128,5000 mAh,HD+,6.67,4.9,0 to 10M VND,Excellent,1928000,10584720000000,10584.72
Điện thoại OPPO A3x 4GB/64GB,OPPO,3490000,3.49,https://cdn.tgdd.vn/Products/Images/42/328449/TimerThumb/oppo-a3x-4gb-64gb-(14).jpg,"Chip Snapdragon 6s Gen 1 8 nhân RAM: 4 GB Dung lượng: 64 GB Camera sau: Chính 8 MP & Cảm biến Flicker Camera trước: 5 MP Pin 5100 mAh, Sạc 45 W",4,64,5100 mAh,HD+,6.67,4.9,0 to 10M VND,Excellent,1175000,4100750000000,4100.75
Điện thoại Samsung Galaxy A06 4GB/64GB,Samsung,2690000,2.69,https://cdn.tgdd.vn/Products/Images/42/328752/samsung-galaxy-a06-blue-thumb-1-600x600.jpg,"Chip MediaTek Helio G85 RAM: 4 GB Dung lượng: 64 GB Camera sau: Chính 50 MP & Phụ 2 MP Camera trước: 8 MP Pin 5000 mAh, Sạc 25 W",4,64,5000 mAh,HD+,6.7,4.9,0 to 10M VND,Excellent,824000,2216560000000,2216.56
Điện thoại Viettel Sumo 4G T2,Viettel,550000,0.55,https://cdn.tgdd.vn/Products/Images/42/330028/viettel-sumo-4g-t2-black-thumb-600x600.jpg,"Màn hình 2.4"" Camera sau 0.08 MP 2 Nano SIM, Hỗ trợ 4G Thẻ nhớ MicroSD, hỗ trợ tối đa 32 GB Pin 1400 mAh",NaN,NaN,1400 mAh,QVGA,2.4,4.9,0 to 10M VND,Excellent,579000,318450000000,318.45
Điện thoại Nokia 105 4G Pro,Nokia,680000,0.68,https://cdn.tgdd.vn/Products/Images/42/311033/nokia-105-4g-xanh-thumbnail-600x600.jpg,"Màn hình 1.77"", 65.000 màu 2 Nano SIM, Hỗ trợ 4G Thẻ nhớ MicroSD, hỗ trợ tối đa 32 GB Pin 1450 mAh",NaN,NaN,1450 mAh,QQVGA,1.77,4.9,0 to 10M VND,Excellent,2599000,1767320000000,1767.32
Điện thoại Xiaomi Redmi A3 3GB/64GB,Xiaomi,2090000,2.09,https://cdn.tgdd.vn/Products/Images/42/320734/xiaomi-redmi-a3-xanh-l%C3%A1-thumb-600x600.jpg,"Chip MediaTek Helio G36 8 nhân RAM: 3 GB Dung lượng: 64 GB Camera sau: Chính 8 MP & Phụ 0.08 MP Camera trước: 5 MP Pin 5000 mAh, Sạc 10 W",3,64,5000 mAh,HD+,6.71,4.9,0 to 10M VND,Excellent,669000,1398210000000,1398.21
